"STATION","NAME","DATE","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-18",71,52
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-19",76,56
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-20",68,56
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-21",60,57
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-22",57,47
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-23",61,50
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-24",73,57
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-25",57,54
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-26",71,53
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-27",71,60
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-28",69,58
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-29",58,44
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-04-30",55,42
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-01",46,42
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-09",65,53
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-10",66,52
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-11",75,57
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-12",80,63
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-13",63,60
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-14",71,58
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-15",69,58
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-16",62,56
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-17",61,53
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-18",62,53
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-19",55,49
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-20",63,55
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-21",61,51
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-22",59,48
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-23",65,50
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-24",74,57
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-25",80,63
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-26",84,65
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-27",65,50
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-28",58,52
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-29",74,54
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-30",67,60
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-05-31",80,62
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-01",79,70
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-02",70,64
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-03",83,66
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-04",73,63
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-05",82,66
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-06",65,60
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-07",65,55
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-08",57,55
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-09",64,56
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-10",58,54
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-11",68,57
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-12",69,59
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-13",74,65
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-14",76,67
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-15",69,66
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-16",68,61
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-17",74,62
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-18",78,69
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-19",82,72
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-20",78,68
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-21",82,70
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-22",63,61
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-23",72,65
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-24",77,69
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-25",79,69
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-26",80,73
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-27",81,72
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-28",87,68
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-29",82,71
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-06-30",78,70
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-01",70,62
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-02",76,64
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-03",84,70
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-04",83,72
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-05",73,65
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-06",74,66
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-07",75,63
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-08",80,66
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-09",72,66
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-10",82,70
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-11",88,73
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-12",76,66
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-13",80,70
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-14",66,65
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-15",82,71
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-16",92,78
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-17",84,77
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-18",76,72
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-19",72,69
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-20",69,67
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-21",80,67
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-22",71,62
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-23",75,66
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-24",80,63
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-25",81,72
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-26",76,73
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-27",84,75
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-28",82,71
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-29",78,71
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-30",74,62
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-07-31",76,64
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-01",78,67
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-02",76,65
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-03",84,74
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-04",78,69
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-05",72,67
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-06",67,56
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-07",67,58
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-08",75,57
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-09",77,64
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-10",80,65
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-11",83,67
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-12",81,70
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-13",77,70
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-14",79,68
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-15",81,71
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-16",76,68
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-17",68,62
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-18",72,63
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-19",82,67
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-20",93,72
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-21",95,74
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-22",74,68
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-23",74,66
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-24",77,66
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-25",78,67
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-26",79,68
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-27",75,64
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-28",82,69
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-29",78,71
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-30",71,62
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-08-31",67,58
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-01",59,51
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-02",62,55
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-03",71,57
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-04",78,65
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-05",78,63
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-06",76,65
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-07",79,72
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-08",76,71
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-09",71,64
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-10",68,57
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-11",71,58
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-12",73,59
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-13",77,64
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-14",73,64
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-15",72,61
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-16",76,63
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-17",66,65
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-18",66,62
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-19",75,63
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-20",86,67
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-21",73,64
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-22",64,61
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-23",68,62
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-24",71,61
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-25",71,63
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-26",71,58
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-27",58,50
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-28",56,46
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-29",65,51
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-09-30",70,55
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-01",74,55
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-02",70,55
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-03",71,62
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-04",70,54
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-05",59,50
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-06",61,46
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-07",63,48
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-08",70,53
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-09",66,52
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-10",69,58
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-11",63,53
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-12",64,53
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-13",64,46
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-14",58,42
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-15",61,51
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-16",53,44
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-17",59,40
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-18",53,45
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-19",49,41
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-20",48,37
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-21",52,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-22",58,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-23",62,47
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-24",60,41
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-25",45,36
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-26",47,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-27",39,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-28",44,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-29",46,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-30",40,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-10-31",41,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-01",41,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-02",50,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-03",52,40
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-04",61,42
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-05",53,47
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-06",48,42
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-07",43,31
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-08",39,31
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-09",44,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-10",41,31
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-11",43,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-12",43,36
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-13",46,37
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-14",40,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-15",37,33
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-16",42,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-17",58,36
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-18",42,37
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-19",52,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-20",56,43
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-21",44,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-22",43,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-23",47,42
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-24",45,29
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-25",36,26
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-26",40,28
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-27",43,37
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-28",40,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-29",45,33
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-11-30",57,45
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-01",62,33
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-02",33,24
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-03",29,16
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-04",37,15
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-05",39,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-06",34,21
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-07",26,14
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-08",34,22
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-09",39,25
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-10",44,17
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-11",45,25
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-12",42,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-13",42,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-14",32,26
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-15",36,24
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-16",49,37
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-17",42,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-18",44,33
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-19",37,32
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-20",33,28
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-21",37,27
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-22",56,31
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-23",48,29
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-24",36,27
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-25",36,29
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-26",47,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-27",46,41
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-28",49,40
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-29",40,37
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-30",46,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1869-12-31",46,37
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-01",43,34
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-02",54,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-03",41,35
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-04",35,29
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-05",34,27
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-06",44,31
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-07",35,26
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-08",34,18
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-09",28,17
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-10",37,26
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-11",46,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-12",50,42
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-13",52,31
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-14",30,18
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-15",49,30
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-16",46,38
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-17",56,37
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-18",48,36
"USW00094728","NY CITY CENTRAL PARK, NY US","1870-01-19",42,30
