"HOVER HERE FOR NOTE:
V160001",V161069 - PRE:  What is it that R likes about Democratic Pres cand
300195,
300196,
300198,"Her rights for women to have equal pay, her changing proverty for minimal wage//"
300200,
300204,Tremendous amount of experience/her experience is really well versed about the world and not just our country/
300207,
300209,The biggest thing is we wouldn't have a fradical change from the way things are now.//
300210,
300212,"has good programs to help community, she is traquil, not aggresive//"
300215,
300217,
300222,"Ummm, Her stance on um rights. Um,, her acceptance of things like gay marriage.// womens Rights. Um, her opinions on tax and equal pay.//No"
300224,"I think she is a very strong candidate. As much as people want to bash her for her 30 years experience and turning into a negative, I think it is a positive. She knows how to get things done in the system. She is smart and she wants to move the country forward.//"
300227,she is assertive and has been in government for long time may know what she is doing
300228,lots of experience//agree with her belief system// i admire Bill Clinton
300230,
300232,
300234,
300235,She can beat trump
300237,"she knows all bout politics, has reputation,she is loyal, but she is probably a lesbian but...she is liberal creative//"
300238,she's more like she listens more to people like what they want.\\
300240,
300242,
300244,
300245,
300246,One I think she has more experience. I liked Bill Clinton and I think if she gets elected he they will be running the country together. I dont want Donald Trump to win so I think she will have a bigger cjance to win over the rest.//
300248,
300250,
300252,"Mostly because I think she has a lot of experience dealing with a lot of things from her husband and her personal self.  I think she could deal with things better than Mr. Trump.  H'es more a businessman, not a politician."
300254,
300255,
300256,
300259,
300261,
300264,
300267,
300269,Previous experience while her husband was in office.\\
300270,she is not Donald Trump
300273,
300276,
300278,
300279,she is better to vote for than the one I can't think of his name//
300280,maybe//
300282,"i think diplomatically sh eis presidential, she has ties to other countries, and i thnk she knows how to work with things\\"
300284,
300289,She's not Donald Trump. I think she has some semblance of compassion for the middle class and lower class of this country. She realizes that they need to be at least taken care of. At least maintain the quality of life that we have. She has experience as a high level politician and as a negotiator and ambassador.//She has experience with running federal programs and balancing budgets although I'm not sure I'm a big fan of how she does it.//
300297,"She has experience in politics//being a lady would be a good story for the US that may bring lots of honor and opportunity for the females and I would like to see the change//Also her husband was the former president and he could be a great assest for her running the government//likes her education, knowledge and experience and she has traveled most parts of the world and that is a great asset when it comes to foreign policy"
300299,fact that she is a female
300303,"she is a woman, that is good for a first time woman for president.//"
300304,
300307,
300312,experience//she's not Trump//
300313,
300317,"well, her social programs//her foreign policy//she says she going to raise minimun wage, thats a good thing//"
300322,
300325,Her experience as Secretary of State\\
300326,"Her skill set, her understanding of the political process, her ability to work with foreign leaders//"
300327,
300333,
300334,"she has been in politics for a long time, that is an added point and having been the wife of a former president, feel likes hilary has a better understanding of what the common person needs//"
300335,"She is a democrat, she is not a republican & she has government experience//"
300336,think se is better tan trump//personally I do not think any one of them//brnie sanders should have won//
300339,"SZhe is expeerience former frit lady, senator for NY// secretary of state, she is for education// i believe in her policies//"
300342,
300343,shes a democrat\\shes the best choice we have in this race\\
300344,"In general, she is not donald trump, general fiscal policies//"
300345,
300352,
300360,"That when Clinton was preisendt, it was great times and it will probably be the same. And she does know foreign policy. That he is pro life and he made that clear when he talked about the next judges he would appoint. //"
300361,History of dealing with people in Wahington//
300363,
300364,"Dhr'd vrey dvhooled in polityics important to be able to transverse the political field; good job as sec of State, not happy about the Dem platform on abortion//"
300371,I think she is a strong candidate has done alot of good in her 30 years and she has good temperament//i think she is a strong role model females although do I do not think she is perfect throught her career she has done a very good job//
300375,
300376,probably her policy recrod from her time in the senate//as far as ideology she is closer to what you believe in//
300377,
300383,
300386,
300387,
300389,i like her experience even though she has made some mistakes. she has the experience. //
300393,
300398,"Because she's a woman.// Because she's worked in the statehouse. She's smarter.// She's for the middle class, she's not for the rich like the other one is.// I just like her. I like how she presents herself.//"
300400,
300402,
300403,
300404,I THINK THAT SHE IS INTELLGENT QUALIFIED THINK MAJOR POLITICAL SHE SRIVES I SUPPORT STRONGLY
300406,sHES GOT THE EXPERIENCE. SHE'S NOT CRAZY UP ON STAGE. SHE DOESN'T SAY RIDICULOUS THINGS. I like watching Trump only because he is crazy. He is entertaining.//no
300408,
300423,
300424,Some of the things that says and she will do.
300434,
300437,"definitely the experience, pro union\\"
300448,
300450,pro life
300453,
300454,she knows the reasons the ins and out/ she was first lady
300456,SHE KNOWS HOW TO RUN THE COUNTRY//\
300458,
300460,"She has experience, much better president compared to Trump, more for poor class, also husband exprience and she has a lot of exprience//"
300465,
300467,
300473,
300475,"Her years in politics, and that is it"
300477,
300482,
300488,
300493,
300495,Out here on the [REDACTED DETAILS] where I live.  Years back they had a flood that tore out our bank.  We went to our representatives who did nothing.  My [REDACTED RELATIVE] wroter to Hillary Clinton when her husband was president & they sent  someone out here to fix the wall.  They listened to one person. Our representative [REDACTED DETAILS] wouldn't listen.  She showed me she cares about the regular person.  I think she is qualified being secretary of state.  Trump has no qualifications..didn't even serve in the military.  I think the man is a total idiot.
300497,"She's going to be helping more people, and raising money, what you get paid //"
300499,I have agreed with Hiiary Clintons women in the workforce as well as equal pay which has personally effected me and taxing the rich. Spreading the wealth out in our country//
300500,
300501,
300503,
300504,Just from last night. She seemed like she really wanted to get to pertinent questions. He didn't and I didn't like that. Someone to move us forward. // I lean on Hillary. She's been in politics for a long time. My friend's [REDACTED RELATIVE] went to school with her and she's been doing things since High Shcool.//
300517,Strong view on wolrd affairs//
300518,
300522,
300526,she understand the working of polictics because of her previous involvment in it//
300534,a record of being strong in washington dc I dont agree for what she is strong for but at least she does not get pusched around
300540,"HER EXPERIENCE, I HAVE NO OTHER CHOICE, SHE'S A BETTER CHOICE THAN TRUMP"
300541,
300542,I like the fact she has a strong policy.  I think she has been in and around the office of the presidency and understands the position.  I think she embodies the cares and concerns of the entire country.//
300543,
300545,"Well I think she's clearly the best candidate. She's smart, it's time that we had a woman. And, I think she'll do a good job. // She certainly has a lot of experience. // Well, I believe in the democratic platform and, uh, I um, Hillary has not been necessarily the most progressive as Bernie Sanders. But I was always with Hillary, even when Sanders was running. // Well, she's been a women's libber and uh voice for children for her whole working life, and I appreciate that. // I like her. //"
300546,her extensive policy experience//no
300547,
300549,
300552,
300554,her ecominic policies / her foriegn policy direction/her support of ewomens issues/her stance of social security issues
300555,
300558,"I read she inteaded on adopting the public education for free for families who make less than a 100,000// just inte4rested in trump not winning// and I belive hilary is the most realistic option"
300559,
300561,
300565,
300566,Immigration she isnt going to deport all illegal people in this country//
300569,
300571,
300572,
300574,
300575,her being a female we have never had a female and maybe that's what we need
300578,
300581,"I think she is more political. She has more experience, political knowledge. Of course, Bill was president and the ecomony was good when Bill was in office and the other nations like him. They liked the Clinton adminstration. I look at how the other countries view the US.// The economy was good when he was in office if you just look at him being president and not the other stuff  . I just think Hilary has more experience.//"
300583,"Um, she has a lot of experience, and I believe that she has done a lot of humanitarian; made a lot of humanitarian efforts. And, I um, agree with most of her views. //"
300586,"She has experience in politics she has been the secretary of state, and I think her whole commitment is to politics she knows politics and knows how to play the game, is a diplomat, I just think that is very important right now due to terrorism, the global world"
300587,because clinton was good president and I know he is behind her and supporting her and experience that he got througjht those years and he would give advice to his wife Hillary Clinton
300589,
300597,
300600,she is inrelligent / mor diplomaric than oher coice//
300601,
300603,
300605,
300609,
300610,"Yes because sheis married to Bill. Well Bill was the closest to genius that we have ever had in the White House. So if Hillary screws up, Bill will straigthen her up. I really don't trust her. But compared to Trump, she's a gem. (I like her. She likes women. I think she over did it with all those emails. and I still don't know but apparently it awas not illegal because the FBI went through all that.\\"
300611,I think she would be better than Trump that's for sure. I don't think Trump will run this coutry to the ground/
300612,
300614,
300617,
300620,She actually wants to help people//She's very supportive of everyone//
300621,
300622,The factthat she could be the first female president is interesting. Not sure thats enough to vote for her because I have other issues. And that I trust that she will be a politician. Thats probably the best phrase I can give you.//
300628,
300629,she speaks very well
300632,"IF i HAD TO CHOOSE, IF i DONT WANT TO VOTE FOR HER i HAVE TO VOTE FOR CLINTON, SHE HAS LEADERSHIP SKILLS AND SHOWS THAT SHE WILL BE GOOD PRESIDENT.  BETTER THAN TRUMP.  DONT HAVE ANOTHER OPTION//"
300633,"HER HISTORY OF WORKING IN SOCIAL SERVIECES, SPECIFIALLY WITH KIDS//"
300634,history she has within the political field
300636,"She is a woman, so that's one thing. It's nice to see a change. But I'm probablyon the more why not.//"
300637,
300638,foreign policy experience//positions on social issues including healthcare reform
300641,she is experienced and qualified//she seems does not loose her cool
300642,I THINK SHE IS GOOD AS FAR AS DIPLOMATICS IN THE OTHER COUNTRY//SHE HAS EXPERIENCE//
300644,
300655,"Can I say everything?//Foreign policy, social issues, ,marriage equality, immigration, equal rights for women,. I'll go ahead and leave it at that.//"
300656,the democratic platform is in favor of abortions and same sex marriages
300657,Only her opponent.//
300658,
300660,
300663,
300674,She's got the experience//
300675,I view myself as a Democrat so that would be one reason to vote for her. Also I do union work and they tell you to vote your paycheck.
300676,
300677,
300679,
300680,
300687,
300693,What she was talking about schools//
300694,"her personality her education, her aspirations for our country, her represntation of my feelings about the world and people her loyalty to her husband, her determination to accomplish what she decided to tackle, she is really a very determined person//I think I'd like her as a person, I think she's a good bet// I'm not naive about her at all, I know things that aren't terribly complimentary, because of her status in the world she is involved in boards of directors and trustees and that could make it difficult for her to be completely forthright, the higher the echelons, the more apt they are to have to make decisions I might not agree with// that's really the way I feel, to me it's not her fault, it's just the way it is that's what I believe"
300695,where she stands on women and childre. I like her opinion on Black Lives matter and all the people who have been coming after her. I think she's got a good head on her shoulders.// I like how our country was when her husband was President . I would like it if she won because i know that He would be there with her. Our country's economy was so much better then and not as many wars.
300696,
300699,
300702,
300703,
300704,HER EXPERIENCE WITH FOREIGN AFFAIRS AND WORKING WITH THE GOVERNMENT
300705,
300706,I like the fact that she is keen on humanitarian issues an she agress with having Syrian refugess come over here and she will check them out legally. Doesn't like closing borders. I do like the fact that she recognizes that we arre a global society and we have to have a presence in other words I like some of her foreign polcy//
300709,
300711,I believe she has more experience than Donald Trump and she will fit the position better//
300717,
300719,She is a woman.//I think she's honest. I thinks she fights fro the children and that she represents us.//
300721,
300723,
300724,
300726,
300727,has a lot of intelligence
300731,
300732,"her ways, she has been there before, and she is female"
300734,
300735,
300736,
300739,she just seem like the better canidate//
300740,
300743,"SHE IS A VERY GOOD PERSON// SHE HAS VULNARABLE TO HELP PEOLPLE SHE HAS HELPED KIDS PEOPLE SHE HAS A GOOD HEARTH, HOW CAN YOU, THEY STARTED THIS ELECTION, YEARS AGO WHEN HER HUSBAND WANT TO GET. SHE WILL BE OUR NEXT PRESIDENT AND I THINK THIS IS WHAT HURTS THE MENTALITY THE REPUBLICANS BECAUSE THEY DONT HAVE NO ONE GOOD PERSON TO FIGH AND PAINTED HER AS A BAD PERSON, THEY CAN NOT GET ANYTHING DONE IF THEY WERE WORKING FOR ME ALL THE TE PARTIES I WILL FIRE THEM . SECRETARY STATE HAS NOTHING TO DO WITH OUR PEOPLE GETTING KILL LIKE A COUNTRY LIKE LIBIA.  JACOB CHAVES, TED CRUZ IS A TROUBLE MAKER NOT GOOD WE GOT NOTHING GOOD IN CONGRESS//"
300745,when Bill Clintoon was in office we were doing well and she is riding on his coat tales//
300747,
300749,"she shows she has family values. She has human values. Many people consider he a liar but she is just a human being. she knows our situation economically, financially, ect.\\"
300750,
300751,
300753,
300757,
300759,
300766,She more experience and more qualifies to run the united states
300768,that she is a woman
300769,
300770,
300774,
300775,
300779,JUST  DO NOT LIKE HIM AT ALL
300780,
300784,
300785,
300789,experience//
300790,she has experience been in white house for 8 years
300792,SHE IS VEERY QUALIFIED AND INTELLIGNENT AND HAS HELD HIGH LEVEL POSITIONS THROUGHT HER CAREER AND SHOWN TO BE AN EXCELLENT PUBLI SERVANT AND WELL CONNECTED AND HAS EXCELLENT INTL EXPERIENCES WHICH IS IMPT IN TERMS OF WORLD POWER AND RESEPCTED IN THE WORLD
300795,She's not Donald Trump//
300796,her experience//her ability to work with world leaders on numerous problems her stance on climate control
300798,"experience,association with bill clinton"
300799,SHES NOT DONALD TRUMP//
300807,
300808,
300812,
300813,
300816,shes a better option than donald Trump in my opinion\\
300819,Shes not trump.//Shes a woman.//
300820,
300821,she has the experience. and if trump won i mean come on he's a liar. he says one thing and then changes it. that's mainly it. i mean i don't like what he says is going to deport all the mexicanas. that's not fair.\\
300827,SHE IS A WOMAN AND THAT SHE COULD BE THE FIRST FEMALE PRESIDENT AND HOW HER HUSBAND HANDLED THINGS AND THAT HE WILL GIVE HER GREAT POINTERS//
300831,
300833,IN MY OPINION FOREIGN POLICY IS REALLY THE ONLY THING A PRESIDENT REALLY NEEDS TO KNOW AND HILLARY IS WAY MORE QUALIFIED THAN THE REST OF THE  FIELD//
300839,she holds herself well//she has a lot of experience in politics//i agree with a lot of her policies...things she favors//
300847,"Her experience and while I may not agree with everything, I recognize she can get things done. She can be bipartisan, and her long term goal as a savvy long term politican. She, no matter what party, she knows how to get things done. And I think that is the most important thing for our country. //"
300850,she is a strong personality// thats enough
300853,"Professionalism, political career, //"
300855,what this means who would i vote for is the lesser of 2 evils
300857,she has political eperience\\we agree on many different policies\\womens right to choose pro choice
300859,
300860,"she has experience, she is intelligent, she is concerned about women and children"
300864,
300869,
300872,
300873,
300874,I like her speach and she is outstanding and I believe she will be a good president and do the right thing for all of us.//I think she reaches out like I say I think she will be a good president.  I think Donald Trump is a little prejusdice and I don't think Hillary is and she will do right by all of us.//
300875,Experience//She's a woman//
300881,
300882,
300883,Her experience//Her commitment to social issues
300885,"Her lifelong experience in government. Her current , her current inside knowledge of how our government is running at this time.//"
300887,
300890,
300893,
300895,"Was a senator, secretary of state,"
300898,"I don't care who is running against Trump. I would vote for anyone with a pulse. I think she is infientely qualified and her lifetime dedication to the country is expplemary and I think  the country is ready for a woman president. I think she has the temperment, the intelligence and I think she has the skill set to be the president. //"
300900,
300901,She's not donald trump //
300906,9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998
300910,
300911,"I THINK SHE IS EXTREMELY QUALIFIED, SHE CAN WORK ACROSS THE ISLE WHEN NECESSARY, SHE HAS LISTENING BASE LEADERSHIP, SHE GET'S STUFF DONE, SHE CAN BE EFFECTIVE//"
300912,
300916,
300917,I think I have some commonalities in her approach to social issues. //
300920,I think she will be a good first lady president.  She has experience in the political realm.  She has a platform but the whole campaign is realty TV so no one is talking about their platforms. They are veering off that to attack each other.  I would trust her more than Donald Trump.
300921,"more qualified,she has more integrity than her opponent//"
300924,"HER VIEWS ON EDUCATION , VIEWS ON TEACHERS PAY AND HER VIEWS FOR GUN CONTROL AND SHE IS A FEMALE//"
300925,
300926,"She has experience she is articualte,she is a female,//"
300927,she already been in the offices and she knows whats going on
300928,
300930,better//woman president
300931,"i like her, she does not talk bad about hispanics//she has experience//"
300935,I would say her enormous anount of experience and is a good listener. and certainly most qualified and possibly most qualified ever.//Shes not perfect. ??
300937,She appears to be well thought out person
300940,Foreign policy experience and health care experience
300947,
300953,experience//bill clinton
300956,
300963,bILL cLINTOLN
300968,experience knowledge of politics//
300970,
300973,It seems as though she is focused on what needs to happen. Not to say everything she says is correct but the whole nation as a whole is what she is focusing on. She may not always focus on the right thing but she is for the nation  not to say she won't make mistakes  but she is focusing in the right way and leading the nation in the right direction//
300976,He past history in politics.
300977,
300979,
300982,foreign policy experience has been pretty good and clearly competent as a politician //
300983,
300991,
300994,
301000,"Only because shes a woman. I never got to the point about what she wants to do, but with all the negative I hear about Donald Trump, it makes me want to vote for the other party. One of the things I like also is her husband has been president so he knows what is going on at the white house and he can guide her.  //"
301006,"I think she is more presidential and she has a good background for President, she was a secretary of state under Barack Obama and I think she will lead the country in the right direction.//"
301007,
301008,i see hillary clinton as aperson who is concerned and wants to do something for the united states. she know more than  donald trump because she has lived in the white house b efore and will be better
301010,
301011,she's a woman. She tells you what you want to hear//
301014,
301018,
301019,"dont want trump to win first and above all // where would I start, im trying to think of, what would be the main reason I would vote for her, of course becuase she would be the first woman presindet and I like everything she stands for, for the most part yes, her take on immigration that has a lot to do with it, her take on education, thats pretty broad"
301020,Her stance on Education. Who she is as a person.//
301023,
301024,
301026,"Strong on foreign policy. Very experienced in the political arena, but that's not always a good thing. I think she's knowledgeable on foreign policy. She knows the people with experience.//I think she's pr0-women and makes racial divisions ... strong but apparently not very well - she's strong in the political arena."
301028,"just her experience and all the things she has tried to accomplish before she was pressindet as far as working for children and thant kind of thing//her history, what she stands for as far as what i know about her she has been doing pretty good in the us senate and when she was done in arknsas with bill and what she did for the children"
301030,That she isn't Donald Trump.\\
301033,
301034,"knowledge of world politics, security issues, experience in politics and serving in a capacity to lead"
301043,"experience, having bill clinton as support"
301045,she is  not Donald Trump//
301047,
301049,
301052,she is more qualified she can speak she is more presidental
301056,HER knowledge of the workings of government and relations with other countries she has established.//
301059,she is the best choice. she has been in the system. the whole system is corrupt and she is right in there with them//
301060,Her experience.//Her qualifications.
301061,
301064,She's a democrat// She's supposed to be for the poor people//
301065,
301068,that she is a clinton
301070,"experience, passion, competency//"
301071,
301073,She's a woman.// She's a Democratic.//
301075,
301081,
301086,
301087,
301089,GIVE CRIDET FOR HOLDING HER ON WITH CLINTON THINK
301093,
301094,
301096,
301100,
301101,
301103,
301105,
301108,
301110,
301111,Her experience.//
301116,
301117,
301119,"she has the most experience, and the most trustworthy of the 2//"
301121,"experience//Probably not, I don't know much. I am trying to understand where it's going. This election is different than the previous ones.//"
301122,
301125,
301129,i like her stance on the abortion//i like what she is saying about continuing obama cara//
301130,"VIEWS ON HEALTHCARE, POLICY ON MATERNITY LEAVE, VIEWS ON EDUCATION, FAN OF HILARY FOR A LONG TIME\\"
301131,
301134,She is more fair. For the immigrants and she's making us believe more in her for everythings she has said.\\
301135,"she is qualified, I think her policies are realisc can be done."
301139,Her past experience what se as voted for in the past healthcare//good platform
301141,
301143,
301144,
301145,
301146,
301147,"first of all she is democratic, and even though i feel she is not 100% honest we have no other choice, but she will e better than Trum, the opposition.  dont want to waste my vote//"
301148,
301149,que no haga lo que quiere hacer Turmp con Mexico. Que suban el minimo en los trabajos. Porque todo esta caro. \\
301150,I THINK SHE WOULD BE AGOOD PRESDIDENT SHE HAS BEEN IN POLITICS FOR A LONG TIME AND SHE KNOWS WHAT SHE NEED TO DO//
301155,
301156,Only that she would be the first woman President.\\
301158,
301160,i liked how her husband ran the country and i feel like she played a part in that and she's not new to the issues of what we need she's been in the white house before so she knows what she's going for and i feel like experience even if its short lived is better than no experience at all
301162,
301164,
301166,
301167,
301169,
301170,She is very polished//she seems like she would represent the United States with no extra drama
301171,she has experience in the political world in Washington//
301173,
301176,
301184,experience - leadership ability - knowledge of world issues -
301185,she seems fair // she seems like she would do the right thing
301187,she is a woman she has been in politics for many years well groomed for postions//
301189,
301190,
301193,
301194,i think that she has a strong background from her husband; leaning more towards her but at the same time would rather vote for someone else//no
301195,
301200,
301201,
301208,
301211,
301213,she is interested in all people that is suposted//she seems very inteligent and she is very good interacting with all people//
301215,Her experience broadly in government services but also professionally.  Her policies both domestic and foreign.
301221,
301225,
301226,
301227,
301228,
301232,"education, she wants free eduction for college students, students would have a paid loan by the time they got out to school//Equal pay for equal, you know man and woman//fairness and law and order, I know she against racial profiling//thinking about the immigration issue, I hope they ween the criminals out//the regualr school system, she spoke about child care too.//"
301234,I like the things she say about jobs and what she say about seniors and the kids in school stuff that she talked about like that and all the shooting trying to keep that under control and stuff//
301235,She still stands behind Obama care and thats pretty much my bread and butter because I'm in the health field.//
301237,"Her being in office of Secretary of State she would have more experiance in dealing with foriegn policy, seems more settled and down to earth & aware of the economy//"
301238,Her experience in politics
301240,She is the better of the two
301242,
301244,
301245,That she's already been in there for 2 terms. Those years were very good for our country. // I believe she's for the people.
301247,
301258,"experience, stablility, and success as a ny senator//"
301259,"Alot f the stuff she says about childrens and kids and education, I have 4 kids//"
301262,hAVING A WOMANS PERSPECTIVE IN OFFICE//TRULY SUPPORTS SICK CHILDREN IN THE WORLD//
301264,
301268,
301271,less of two evils//not reallly evilas two bad choices
301273,
301274,
301276,
301278,
301280,"Very experienced, she knows what she is doing, agrees with her on a lot of her stances."
301281,I think she is a crook//
301282,
301283,
301285,
301288,
301293,shes a woman//she knows more about foreign policy//wants to increase minimum wage and no wall in Mexico//ties with Bill Clinton
301294,
301296,The I believe she pushed for children to have access to medical//
301298,I undersgtand that she could impulse aspect of economy in ths moment that are resagados
301302,
301304,Her support for the LGBT community.//
301305,
301306,"Her life of service, and interest in community. // Experience. // Her positions on the issues are ones that I generally agree with. //"
301308,
301313,
301314,
301316,
301317,
301319,
301321,
301322,
301323,
301324,
301325,her already kind of having a viewpoint on the Whitre House with Bill already been a president//some of the views that she has that I agree with  more than Donald trump//
301331,"Has the experience of being Secretary of State, Former first lady"
301332,I feel as though she is the most qualified candidate.//
301333,
301337,
301338,liked when bill was in office and she did most of his work
301342,
301344,
301345,
301346,better canidate//
301347,she can probably do the job
301351,I think she make a good president because when her husband was president he was a good president and she would be good. You have seen him do changes in peoples lives like education just making people be somebody//I think she would be able to do it but I know she is going to have alot of criticism because she is a woman hopefully she will strong to do anything everything is falling apart anyway she can help if she did something
301353,I would say the climate change.//That's one of the positive things. Engaging with Allies. The more democratice.//
301354,
301355,"I think she has a long record of service.  She has shown her desire to be of service to the vast majority of Americans, the welfare of minorities. Her experience as Secretary of state. She is tough minded and hard working."
301356,Experience//
301357,
301365,
301366,
301367,
301368,
301369,
301370,she is a democrat
301371,she is trying to do something about the jail system and the affordable care act//
301373,"good speaker, has a way with words//weel educated//crafty//"
301375,"Lo que pasa es que yo soy democra y aunque Hillary no me simpatiza es la mejor opcion, no hay otra alternativa//"
301376,
301377,"SHE'S EXPERIENCED, SHE'S SINCERE, I THINK SHE HAS SOME GOOD PLANS//"
301383,I think that she has the experience. She has more than Donald Trump. I am more concerned with what she didi in the past. I dont know what she will for the economy.//She seems more leveled headed. she keeps her cool.//She really didnt give her opinion.//
301384,"she is more experienced government wise, more international experiencd"
301388,I think she will do great for our nation.\\
301389,Se le ve futuro y es una persona accesible//
301391,I feel that she is not racist as Trump has. And that I want to see a female for President We already made history with Barack Obama and now we need a female.//
301393,her husbands trach record as president would be an influance - she has a lot of years experience forign and domestic
301396,
301399,progressive social issues//
301402,her track record of accomplishments in the political arena -
301404,
301408,
301410,"SHE HAS EXPERIENCE FOR ONE THING, SHE'S BEEN IN GOVERNMENT OFFICE FOR A LONG TIME, I JUST THINK WHEN TROUBLE ARISES SHE WOULD BE A LOT CALMER TALKING TO HEADS OF STATE, I THINK THAT'S ABOUT IT//"
301411,"I like the way she leads, the way she speaks about medicare, very good with everyone, medicare the best one//"
301412,"she is well educated, she has experience working in government and is familar with our system of gov"
301416,
301418,DONT HAVE A CHOICE// ITS THE PEOPLE THEY PUT IN FRONT OF YOU//
301419,
301420,
301421,
301423,she has donated a lot of organizations like IMLS//
301429,strong polical background
301433,
301434,"MAKES PEOPLE COME TOGETHER, STANDS FOR EQUALITY FOR ALL RACES, PEOPLE//"
301436,
301439,
301440,
301442,She is going to work with Bernie with college students.  Because I am a college student myself//Tax breaks.
301446,
301452,She cares about the worker class and immigrant families
301454,TRUST HER WITH WEMANS RIGHT
301455,
301456,
301457,my views align with the democratic party/no
301458,"Well, Hilary been in the senate for a very long time. She has helped an tremendous amount of people and the most important thing she has done is too help children.//"
301459,She's not Donald Trump.//
301460,SHE WOUD HAVE A LITTLE BIT OF HEAD START BECAUSE HER HUSBAND WAS IN THERE//
301461,She is a strong woman of our nation and that's pretty much it a strong american woman for our nation and she has a differnt perspepective about the nation
