V160001_orig,V161075 - PRE: What is it that R likes about Republican Pres cand
300393,"He wants to make the country better, and will do whatever he can.  If he steps on toes, he doesn't care.  He will do what has to be done.// He's a straight shooter.  He will do what needs to be done to get this country out of debt.  He won't let the other countries run over us. //"
300398,
300400,he different not the political machine he says what he thinks which is not allways a good thing but he says what he thinks I think he is a very intelligent man he will surround himself with people who will be able to help him lead//
300402,he has companies here and head and shoulders above her in business//wants to make our country self sufficient// and build a wall between UD and Mexico// and will get rid of foreigners taking jobs//he stood for veterans//
300403,
300404,
300406,
300408,interested in jobs//
300423,too agressive//
300424,
300434,
300437,"he seems  like he would be agreeive, not ina bad way and he is tough of deals with foreign countries and all of that, he seems likea man of action"
300448,
300450,good businessman
300453,his running mate//
300454,
300456,
300458,
300460,
300465,"I think he'll do the country better, he's a strong person, he's a business man, that don't hurt//"
300467,"mostly it's policies, feel like he's stronger on immigration and I'm concerned about setting up a responsible immagration initiative, strong on 2nd amendemtn and I think he will put justices in supreme cout that will be good on that and I think those will be the strongest justices going ahead./Physical responsibility is something we'll see more under trump to help reduce the fiscal deficet/"
300473,"he is a businessman,"
300475,"That he's not Hillary Clinton//He's a solid businessman in some sense of the term, but he has major faults"
300477,
300482,
300488,
300493,
300495,
300497,
300499,Trump has a strong sense of business and the financial needs of the country. I don't necessarily agree with his business tactics but he is kknowledgeable//
300500,he for guns
300501,jobs & security/our government//
300503,"There is a lot . He is so reliable on anything.//well, I think he has the stamina to work.// Um, He has a good family.// He is using his money//He is a sincere person. How much more sincere can you be?//Um he is honest.//I think he respects women.//Thats it."
300504,"one of the things he said ... when he was talking about the border, I dont agree how he's going about it, but I understand that immigrants might be possibly taking things away from Americans. //"
300517,"Strong business sense, has integrity//"
300518,Hope supreme court judges.\\ Not a politician.
300522,"I think we need a change, his position on the border, we need to do something about the deficet spending and I think he can create jobbs he has done it in the past and has been successfull, also I think we need to reform the tax code//"
300526,"Business management//fact that he might work from a more conversation spending basis, not spending what you don't have maybe//"
300534,
300540,
300541,he wants to take care of the veterans//
300542,
300543,I dislike Hillary Clinton more//
300545,
300546,
300547,
300549,
300552,His enthusiasm and his patriotism.//
300554,
300555,not an insider//
300558,
300559,building a wall//like the idea he's going to round up all thme people. I have seen first hand the kind of shit that happens. My [REDACTED RELATIVE] is a nurse in [REDACTED CITY NAME]. Those Mexicans or whatever they are better clothes and shoes than most people and they whip out their welfare card when it comes to paying the bill  - and she dont have those kinds of benefits//
300561,republican
300565,"HE SEEMS LESS IMPACTED BY POLITICAL STRAGES A FRESH FACE NOT DEMONSTRATED THE TYPICAL POLITICS --PEOPLE THAT HAVE HAD A DIFFERENCE EXPERIENCE, HE IS JUST MOTIVATED BY CHANGE IN WHAT HE HAS EXPERIENCED IN THE LAST 8 YEARS//"
300566,
300569,"he is not Hillary, uhm i believe that he is a sincere interested on the well being of the country, and I think he is smart and will bring a different view and he is not political at all// I think he uhm trying to think what he wrod will be I think we will not be hinder by owing politicval favors in hi decitions he willl be based on what advice he gets from his cabinet and not due to ideology//"
300571,"He is not a political insider, and he doesn't owe a lot of political debts.//He tells it like it is, and I don't know what he'll do politically because he doesn;t have a political, record, but it can't be worse than what is happening.  He certainly knows how to be successful in business.//"
300572,"He's different and honest, I don't think he is seeking fortune or fame//"
300574,
300575,his motives/if you don't belong in this country then get out/if you don't pay taxes then leave//
300578,"trying to secure the borders//looks like he is trying to do away wirh Obamacare that I am not saifsfied with, looos loike he is trying to do asay with that"
300581,
300583,
300586,
300587,
300589,Best interest of the US at heart//
300597,He has a business background.//
300600,might have a diiferent approach than past presidents//
300601,I feel he wants to unite the country and his morals are better than the other side & he wants to make this country great again he's a family man he's a business man he can make jobs for our people iI believe he wants to get along with all the countries he's not dividing the country//
300603,"Before anyone from any country and especially from Muslim countries they must be vetted before they are admitted//The Muslims that are already here that we know of, we must deport them immediately where they will never come back and if they do, there will be severe serious consequences.  I agree with his repealing Obamacare.  I agree with building a wall on our southern border and let the Mexicans pay for it through international trade deals//bring jobs back to America.  Build up and strengthen our military that Obama completely destroyed so we will not be vulnerable to anyone//do away with the nuclear treaty with Iran//by creating jobs he will spur the econnomy which Obama hasn't done at all.  He will eliminate the needless environmental and other regulations that Obama has inflicted on American businesses.  He will hopefully remove America from the UN.  I think that he will try to remove the poverty level and put the Mexican Americans and Afro Americans back to work.  I think he has their interests at heart"
300605,HE LOVES AMERICAN// I THINK HE CARES ABOUT AMERICA// HE OESNT NEED THE JOB//HE WANTS TO MAKE AMERICA GREAT AGAIN// i THINKK  HE WILL MAKE A DIFFFERENCE// HES NOT PART OF THE POLICITAL SYSTEM//
300609,"I have talked to some veterans, and regardless of what you've seen on TV, they are going vote for Donald Trump.//I think he's a very headstrong person (meant in a positive way).//"
300610,
300611,
300612,
300614,HE IS NOT POLICITIACAL  CORRECT// HES NOT A POLICITAIN//CORR
300617,
300620,
300621,"His views on immigration, his views on the second ammendment, his views on foreign policy,//his financial views on the economy"
300622,
300628,"he is a businessman, requires a businessman to run this country//hios whole platform is based on business not politics"
300629,
300632,
300633,HIS BRUTAL HONESTLY REGARDING FEDERAL GONVERNMENT AND ITS VARIOUS PROBLEMS//
300634,his business sense
300636,He's a businessman. //
300637,
300638,
300641,
300642,
300644,The new change that he could bring to the country. And him paying his own campaign and not owing anybody anything. And that he's a great businesman taht can probably turn our coutry around.\\
300655,
300656,i think his platform is more for family values and man woman relationships//
300657,
300658,"I think he's gonna shake things up and I think that would be a good thing because the way the political process is now, a candidate gets in there and doesn't do what they say //"
300660,
300663,he tells it lie it he can see a problem and handle it he stands up for whaat he believes in he dont like lobby groups dictate what theet say  i like his hair he csn see in clinton that the country owes to her he can bring out her bad points //
300674,
300675,His confidence. He is very well spoken and I like his attitudes some of the time.
300676,
300677,
300679,
300680,//he has not used any tax payers money only his own
300687,mainly dont want hilary
300693,
300694,
300695,
300696,"he is not a politician, he is for our country, for the people his business mind country back on track, pro life//"
300699,He is just different//
300702,
300703,i think he has a economic and bussiness background for the american people first and he has a very good foreign policy when it comes to how to deal with isis
300704,
300705,"he is the oppositr of her, he is pro gun rights, strengthen the border in Mexico,a nd he is more conservative than her\\"
300706,I like his business sense an bring our jobs back over here. He is going with tax change for corporations they will more likely stay her our jobs rather than go overseas. She likes the fact that he is going to secure our border which help prevent drug trade and people entering illegally.//
300709,He ain't afraid to speak his piece.
300711,
300717,THE OPPOSITE OF CLINTON ON OBAMA CARE\\
300719,
300721,
300723,He is honest and he is really not running because he needs it.  Why he is running is he doesn't need money.  He doesn't need us to like him..He will do what he says he does.  He blurts out stuff & I think its funny but its honest.  He comes off condescening but he is intelligent & will help.  I am totally against Obama care.  People want a free ticket out as opposed to working for wha tthey get.  Welfare system is messed up.  I am working and paying over $1200 a year for medical experience.//
300724,not a career politician
300726,
300727,
300731,
300732,
300734,
300735,i'd say he is truthful and you know exactly what he is thinking as brash as he is you know what he is thinking//
300736,
300739,
300740,
300743,
300745,he is straight faced. He may not b ethe best for the country but at least I know what we are getting with him//No smoke and mirrors//business skills could prove useful//
300747,I think he's a fair person// I think he's honest// I think he's the most honest of the two candidate running//I hope he get's everything straightened out.
300749,"he's wishy washy he keeps changing his mind one day he says one things and the following day he says another thing. he keeps putting people down. the minority people. main reason id on't like him is because he does not stick to the issues, economically, nationally, etc.\\"
300750,
300751,
300753,make america first
300757,
300759,
300766,
300768,he is a saavy businessman- agreee with some of his ideas -we need change -
300769,
300770,he;s handled bankruptcy in his own life and we're headed for bancruptcy as a nation so he may be the better candidate. He has made payroll out of his and he's responsible for it//
300774,I like how Donald Trump is freedom of speach and I think he would be a better candidate than Hiliary Clinton//
300775,"he tells exactly what he wants to do, we need someone to change everything to get it back to normal in our country, I like stance on people coming into the country with proper vetting,I think he's an honest man that will try to do his best,I like that he has a big family, he is family orientated, he has a fresh outcall,I like his policies on just about everything//"
300779,
300780,"his honesfty, his fresh ideals, and thinking more of the things he is talking about in regards of this country making it great again.// Everyone has the right to come to this country and doing it legal// the isis and the global situation he is going to make it right//he'll be the one that will ensure the country is secure as much as possible"
300784,
300785,he is prolife//
300789,
300790,having more control on immigrastion
300792,i THINK HIS FISCAL POLICIES MIRROR THE VALUES THAT i HAVE SOME OF HIS CRITICISMS OF WHERE WE ARE IN OUR COUNTRY NOW i AGREE BUT HIS SOLUTIONS DO NOT REFLECT MY VALUES.  //
300795,He has some good ideas on certain topics such as immigration//
300796,
300798,
300799,
300807,Busineman man not in goverment//
300808,hes not hillary clinton and hes repebulican// he's a businessman and will surround himself with people to make good decisions.
300812,"I HONESTLY BELIEVE THAT HE REALLY WANTS TO HELP BUILD MORE BUSINESSES AND EMPLOY MORE PEOPLE BECASUE HE HAS BEEN A SUCCESSFUL BUSINESSMAN, HE HAS THE KNOW HOW"
300813,like forigen policy think bring us out ecomoice criss\is were in
300816,
300819,
300820,like his view points on a lot of issues\\i hope he fixes healthcare like he said he would\\feels like he say what a lot of people think that they are afraid to say
300821,
300827,
300831,I like what he says about the immigrants and not giving everyone medicaid and and other that. Food stamps will be taken away to the people from from here. I dont like what he says about the immigrants but I like what he says about we can chose our own doctors.\\
300833,
300839,His piscal sense is exceptional.  He has some questionable business practices but his knowledge of running a business could be effective in running a country//
300847,
300850,
300853,extreme right wing //
300855,his policy on the military that is what would make me want to vote i am military retired
300857,
300859,
300860,
300864,everything
300869,"Immigration stance, the fact that he does not want people to continue drawing welfare with working and time limits.//Strong business sense, not tied to lobbyist, honest, not politically correct.//Not being part of the establishment of Washington.//"
300872,
300873,a lot of thing he says to much control from washingtion
300874,
300875,
300881,
300882,"His ideas for change and the govt//Um,his views on immigration and trying to think of what else. I was going to say something about his uh what did he give a speech about a couple nights ago? I'm tired.//I can't think of it right now."
300883,
300885,"I can appreciate that he, oh how, even though I dont necessary agree with him, I can appreciate how he feels.Whether he is liked or not for what he says.//"
300887,PRO ABORTIOON MILTARY 2N AMENDMENT
300890,He's not Hillary Clinton.//
300893,"He s not a politican and hes saying what he believes. and his immigration stands is right on target,..//"
300895,
300898,
300900,I just like him/knows how to make money
300901,
300906,9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998
300910,HE WOULD CHANGE THE GOVERNMENT FROM BEING CONTROLLED BY LOBBYISTS//HE WILL MAKE CHANGES
300911,
300912,hes a business man and we need a business person to take on the things of this country cause thats what we need
300916,
300917,I like that he is NO nonsense. He obviously has a strong business sense and he could contribute toward our country getting better or improve.// I also think that because he hasnt been a politician that he is less inclined to play the game of politics and more inclined to attend to important matters without caring who he os making happy or unhappy.
300920,
300921,he would be a alternative than we previously had like a breatkh of fresh air//
300924,
300925,He is not Hillary Clinton. I do like committment to build wall.
300926,"he is a renegade,influentioal,and he doesn't do it for the money//"
300927,
300928,"HE'S HONEST, HE ISN'T LYING,HE TELLS THE TRUTH"
300930,
300931,
300935,
300937,I believe he has the right idea about the direction this country needs to start heading in
300940,
300947,trade policy immmagration policy like how is anti political and anti estalbishment
300953,
300956,"He can't be bought. Uh, he believes in the same things I stand..I believe in. Uh, I agree with his political views. //"
300963,
300968,
300970,"Well, I guess number 1, he is not from the establishment.//Well, he'll be more for amendment rights and immigration than Hilary will//I guess that's the main things."
300973,
300976,
300977,He is not Hillary Clinton//
300979,//
300982,
300983,"I think one thing national security and law and order.//Also like jobs, bring jobs back to America, balance the budget, and big increases in Obamacare.//I think whole country is going to liberal at this point. The country needs to right itself it's on the wrong track.//"
300991,"hes not a government//hes a businessman, hes not been bought/"
300994,"One thing for sure, he's not gonna take your guns away from you or try to either, well i'm a gun guy, i'm a hunter//"
301000,"Maybe somewhat because of his business background I am sure that is an advantage, but it depends. I'm actually pro with the building the wall.  //"
301006,
301007,He is a republican
301008,
301010,Work experience & that he is not a politican//
301011,I like what he says. I wish he would grow up. He's like a juvenile sometimes//
301014,"view on the taxes and paychecks.  work lots and too many taxes are taken, if thats a possibility of change for the better that is what I want, [REDACTED RELATIVE] owns a s a small business"
301018,"He's going to make America stronger, He's going to bring jobs back tothe US. . He's going to bring people back together.//"
301019,
301020,
301023,brute honesty. he is not going to ask another country to help us won't rely on other country money
301024,To take out a lot of the political correctiveness we've had in past few years with Barak Obama. I feel there a lot of corrupt politicians who are not doing good for our country. Its a trust issue.
301026,
301028,
301030,"His economic policy, that would be theonly thing.\\"
301033,I feel he'll govern based off of what's right for the people.
301034,
301043,promises more jobs
301045,
301047,
301049,"Kinda feel like he's trying to change things around to maybe the way they should be but he has a hard way of doing it/think basically he's honest, or as can be/"
301052,"he has some good ideas but I don't elieve in the wall or discriminating against anyone he is about himself instead of about the people of the us, when he speaks it is always about himself"
301056,knowledge of business.//
301059,
301060,
301061,"He is good with economics, like money, the economy.  He's good with that//"
301064,
301065,
301068,he is arrogant
301070,
301071,
301073,
301075,
301081,LOVE FOR AMERICA//
301086,
301087,
301089,
301093,I think he shoots from the heart but I do not think he thinks before he speaks and that comes from inexperience// Not from his sepaking on television events it is basically the games he is in the public eye but does not have a lot of experience other than supports the military//you know as far he pays attention as a business man for he has not had a lot of experiennce in the public domain//he  speaks not with experience but he is not a lawyer I would rather have 120 honest people that represent the nation and all facets of it//intelligent people that represent the face of the United States that brings all facets of business//And basically limit the number of lawyers that are in position of Senate and Congree and put them as 10-20 tat represent or will basically be consulted by people in position you get advice from them legally and then start tranisitioning them to honest people//get away from a bunch of lawyers who cannot get a job to lead our country//
301094,"he loves this country, he's a business man he is not a politiction he has flaw like anyone else, he's a normal human being, he is this countries only chance to save this county, and put conservative into congress, we will lose republican majority ina nutshell, there are good people in cogress but many are paid off like Hilary and Obama and the Bush adminstration. I think Trump will get Soros out of the country, money buys votes//Trumps the man he's our only hope.//"
301096,businessman
301100,"He's non establishment. He's politically incorrect. He's aggressive. He's already a billionaire.Other than all of those, not really."
301101,"he's the republican nominee, I agee with some of the things he says and disagree with some things he says//"
301103,Business background.  Basic budgeting skills.// Not a life-long politician.//
301105,Theres a lot of good points. He is not for abortion because I am against abortion.//He is for the American people and for the veterans.  I know he wants to help the people with the insurance.
301108,hIS ECONOMIC POLICY/
301110,HES NOT A POLITICIAN FOR ONE THING HE WILL MAYBE MAKE LOTS OF MISTAKES HE WILL NEED A LOT OF GOOD ADVISORS AND HOPEFULLY HE WILL LISTEN TO THE PUBLIC// I DONT BELIEVE EVERYTHING THAT IS SAID ABOUT HIM GROPING PEOPLE HE HAD JOKED ABOUT IT BUT THAT DOESNT MEAN THAT HE HAS DONE IT//HES A BRAGGERT WHICH LOT OF PEOPLE ARE//
301111,
301116,He is not Hillary Clinton.//
301117,
301119,
301121,His straight forwardness. I don't know what would be the right word. Not being afraid to not be politcally correct. I don't know how to word it.//Honestly I don't know that much more. Im hoping to understand a little bit more about opponents as we get closer.
301122,His political affiliation//his lack of corporate funding//his new ideas//
301125,HE IS NOT HILLARY CLINTON AND WE DO NOT HAVE A LOT OF CHOICES//
301129,
301130,
301131,"stopping war, more jobs, cant remember"
301134,
301135,
301139,
301141,"bussiness acumen, leadership, able to make decesions"
301143,
301144,He's for america. I mean there are a lot of good things about him. I'd rather listen to what Trump has to say than what Hilary has to say. I just don't trust Hilary at all.//
301145,2
301146,
301147,
301148,
301149,
301150,
301155,putting that gate in mexico//
301156,To have someone really different be in the President's spot.//
301158,"I think he will pick judges for the supreme court that will be more to my liking.//Well, I'm a little worried. About the country with him being elected but I think the two choices that we have, he would be better.//No"
301160,he knows how to make money and right now our country needs to get rid of that deficit. The rich people continue to get rich and he knows how to make money and if he can get rid of the deficit i feel like more people will have more opportunities //
301162,to do some house cleaning in the united states//
301164,"because he is running against Hillary Clinton, would vote for anybody running against Hillary"
301166,
301167,He brings fresh light// he is not be control by the politicak stablishment//
301169,
301170,I like his views on i like that he does nto have a politicain background//i like he is straighforward on his views//i agree with a lot of his thoughts on his views//
301171,"change in Washington, whatever it might be//hopefully for the best//"
301173,He's smart with money//He's blunt and says what he thinks - he's honest//
301176,"He doesnt hold back, tells it like it is//"
301184,
301185,"i have faith that he would get the economy going, he is going to rock the boat, but how? it kinda scares me"
301187,
301189,"His strong support of the military, his views on gun control, his strong business leadership,//"
301190,"He was a Republican, it was an ABC Ballot, anything but Clinton. //"
301193,
301194,
301195,"Because he is not a career politician/I think he has the business sense to actually help our economy/I think he's saying what everyones's been thinking for a while. alot of what he's saying I don't agree with, its more a personality thing and that's also the reason people listen to him. Because he says what he thinks/"
301200,
301201,I think he loves America and he will do the job I'm sure.//
301208,"think he could help get the country out of debt, I sure just don't want her"
301211,voice the people is the voice of the people not on everything that i really want not completely but he does voice most of what the people would like to voice for//
301213,make the economy great again and only one//
301215,
301221,
301225,"I believe that we have had Democrats in the White House for two long and in a two party system, it is best to change things up. Just because he is Republican.//"
301226,"strong military,streme bitting of all refugees, border law,working for all the people,strong family,//"
301227,"i like his direct honesty. You said about his character? Oh,well lets take away his honesty. I thought you were talking about character. The number #1 reason. Trump is not a globalist. He believes in uS sovereignty. Therefore the borders.//"
301228,
301232,
301234,
301235,His honesty//I agree with a lot that he says but his delivery is strong. I agree with about 50% of what he says.//
301237,"He is eger to get economy turned around, He wants to make the nation safe//"
301238,
301240,
301242,He's not a particular candidate. He works and is like us in a way/
301244,HES NOT HILLARY CLINTON//
301245,
301247,
301258,aniti establishment approach//
301259,
301262,"business man,supports business//better control on imigration//driven//been successful with many businesses//overcome failures"
301264,"he is wanting to bring jobs back to u.s.//wanting to bet anyone from coming in//has strong support from police and military//seems dedicated, he is my age and wants to do that///"
301268,some of his policies are good//He is a change// He seems to know alot of things//
301271,"intersting tax policies//wondering how he wouldn fund them hes planing on tax cuts, going to a 3 tier tax bracke..decifict a few trillion//in general you don't like him as a candiadt//"
301273,:\\he feels that he would actually help the economy
301274,"he is really going to make a cange at least he is going to try,"
301276,
301278,"more honest than clinton,likes some of his views"
301280,
301281,we need something different I don't like the direction the country is going and if Hilary is elected it will keep on going
301282,
301283,
301285,I believe he is a true American and wants to fix America/too bad he don't know how to say it right/
301288,
301293,
301294,He is a businessman // no
301296,
301298,If he expresses support for the different etnicities here in the US explicitly speaing of huma rights//
301302,BUSSNESS EXPERIENCE
301304,
301305,
301306,
301308,I like his views on trying to cut our ties from China and make more American products for more jobs.  I am against welfare and Obamacare. I don't care about his racist stuff. I strobly dislike Hillary.\\
301313,We need change//he's done some good things and he is not arrogant about it//he supports our military//
301314,"Jobs, regulate the immigrants coming in,"
301316,anti political correctness//support for legal immigration and oppose to illegal immigration//
301317,I believe that he is honest and trustworthy and I believe that he will try to get jobs for the American people and set our economy straight and have people around him that will give him good advice. I beleieve he will listen to the generals for the safety of our country and americans. I believe he will clean up the corruption. And he will make the country better and clean up all the lies that have come out of the white house. I also think that he is going to try to do something to get the media to tell the truth instead of this crap journalism. They need to keep government honest. that is what they are there for. //
301319,i like his forthcoming straight forward attitude
301321,"he is not hiliary, \\"
301322,
301323,
301324,he seems to want to make a change not afraid to ruffle feathers//
301325,His views o n the VA//
301331,
301332,
301333,HE IS KNOWLEDGEABLE ABOUT VACCINES BUT I AM NOT SAYING THAT I WOULD VOTE FOR HIM
301337,GOOD QUESTION.  SEVERAL THINGS.  HE IS SUPPOSEDLY A CONSERVATION AND i LIKE A LOT OF WHAT HE SAYS HE WILL DO TO BE FISCALLY CONSERVATIOVE.  BELIEVE IN HIS SOCIAL RESPONSIBILITY.  THE MATERNITY LEAVE HE DID PAST WEEK.  I AM SOCIALLY RESPONSIBLE BUT THINGS HAVE TO BE PAID FOR .  i AM FISCALLY CONSERVATIVE
301338,
301342,not hilary clinton
301344,He's not a politician so I think it would be interesting having someone in there who's not so much a politician. I think he has some good points and would be stronger if something would happen // I think he's stronger as a whole //
301345,
301346,
301347,
301351,
301353,
301354,not a politician
