Nature,Case #,Date Reported,Date Time Occurred,General Location
Drug Law Violation,N/A,3/21/16,2/9/16 10:11,Willcox
Drug Law Violation,N/A,3/21/16,2/9/16 10:12,Willcox
Drug Law Violation,N/A,3/21/16,2/9/16 10:14,Willcox
Drug Law Violation,N/A,3/21/16,2/9/16 10:15,Willcox
Drug Law Violation,N/A,3/21/16,2/9/16 10:20,Parsons
Drug Law Violation,N/A,3/21/16,2/11/16 9:35,Sweetser
Drug Law Violation,N/A,3/21/16,2/11/16 9:37,Sweetser
Drug Law Violation,N/A,3/21/16,2/11/16 13:20,Tingle
Drug Law Violation,N/A,3/21/16,2/17/16 17:29,Knight Law School
Drug Law Violation,N/A,3/21/16,2/18/16 15:19,LLC 4 SOUTH
Drug Law Violation,N/A,3/21/16,2/18/16 15:21,LLC 4 SOUTH
Drug Law Violation,N/A,3/21/16,2/18/16 15:27,LLC 4 SOUTH
Drug Law Violation,N/A,3/21/16,2/22/16 9:03,Boynton
Drug Law Violation,N/A,3/21/16,2/22/16 15:30,Schafer
Drug Law Violation,N/A,3/21/16,2/22/16 16:07,Thornton
Drug Law Violation,N/A,3/21/16,2/22/16 16:09,Thornton
Drug Law Violation,N/A,3/21/16,2/22/16 16:11,Thornton
Drug Law Violation,N/A,3/21/16,2/23/16 9:03,Thornton
Liquor Law Violation,N/A,3/21/16,2/2/16 8:51,Sweetser
Liquor Law Violation,N/A,3/21/16,2/2/16 8:53,Smith
Liquor Law Violation,N/A,3/21/16,2/2/16 9:52,Carson 3rd floor
Liquor Law Violation,N/A,3/21/16,2/9/16 9:27,GSH 2 Central
Liquor Law Violation,N/A,3/21/16,2/9/16 9:29,GSH 2 Central
Liquor Law Violation,N/A,3/21/16,2/9/16 9:30,GSH 2 Central
Liquor Law Violation,N/A,3/21/16,2/9/16 9:34,GSH 4 South
Liquor Law Violation,N/A,3/21/16,2/9/16 9:48,LLC 4 NORTH
Liquor Law Violation,N/A,3/21/16,2/9/16 9:48,LLC 4 NORTH
Liquor Law Violation,N/A,3/21/16,2/9/16 9:50,LLC 4 NORTH
Liquor Law Violation,N/A,3/21/16,2/9/16 11:24,LLC 4 NORTH
Liquor Law Violation,N/A,3/21/16,2/9/16 11:25,LLC 4 NORTH
Liquor Law Violation,N/A,3/21/16,2/9/16 11:26,LLC 4 NORTH
Liquor Law Violation,N/A,3/21/16,2/9/16 11:28,LLC 4 NORTH
Liquor Law Violation,N/A,3/21/16,2/9/16 11:29,LLC 4 NORTH
Liquor Law Violation,N/A,3/21/16,2/9/16 11:30,LLC 4 NORTH
Liquor Law Violation,N/A,3/21/16,2/15/16 16:45,Sweetser
Liquor Law Violation,N/A,3/21/16,2/16/16 9:43,Morton
Liquor Law Violation,N/A,3/21/16,2/18/16 10:13,GSH 2 North
Liquor Law Violation,N/A,3/21/16,2/22/16 9:43,Caswell
Liquor Law Violation,N/A,3/21/16,2/22/16 15:13,DeCou
Liquor Law Violation,N/A,3/21/16,2/22/16 15:15,DeCou
Liquor Law Violation,N/A,3/21/16,2/22/16 15:17,DeCou
Liquor Law Violation,N/A,3/21/16,2/22/16 15:27,Carson 3rd floor
Liquor Law Violation,N/A,3/21/16,2/22/16 16:13,Willcox
Liquor Law Violation,N/A,3/21/16,2/22/16 16:15,Willcox
Liquor Law Violation,N/A,3/21/16,2/22/16 16:18,Willcox
Liquor Law Violation,N/A,3/21/16,2/22/16 16:20,Willcox
Liquor Law Violation,N/A,3/21/16,2/23/16 11:53,Stafford
Liquor Law Violation,N/A,3/21/16,2/23/16 11:55,Stafford
Liquor Law Violation,N/A,3/21/16,2/23/16 12:05,BARNHART 7 NORTH
Liquor Law Violation,N/A,3/21/16,2/23/16 15:51,Moore
Liquor Law Violation,N/A,3/21/16,2/23/16 16:47,Morton
Liquor Law Violation,N/A,3/21/16,2/23/16 16:49,Morton
Liquor Law Violation,N/A,3/21/16,2/23/16 16:51,Morton
Liquor Law Violation,N/A,3/21/16,2/23/16 16:52,Morton
Liquor Law Violation,N/A,3/21/16,2/25/16 13:19,GSH 4 North
Liquor Law Violation,N/A,3/21/16,2/29/16 8:21,LLC 2 SOUTH
Liquor Law Violation,N/A,3/21/16,2/11/16 13:14,GSH 2 North
Liquor Law Violation,N/A,3/21/16,2/12/16 9:04,GSH 2 North
Liquor Law Violation,N/A,3/21/16,2/12/16 9:11,GSH 2 North
Liquor Law Violation,N/A,3/21/16,2/12/16 9:12,GSH 2 North
Liquor Law Violation,N/A,3/21/16,2/12/16 9:16,GSH 2 North
Liquor Law Violation,N/A,3/21/16,2/12/16 9:21,GSH 2 North
Liquor Law Violation,N/A,3/21/16,2/12/16 9:23,GSH 2 North
Liquor Law Violation,N/A,3/21/16,2/19/16 11:25,DeCou
Liquor Law Violation,N/A,3/21/16,2/29/16 8:39,Cloran
"Elude-Vehicle, Reckless Endanger",16-0372,3/22/16,03/22/16 1035,Off Campus
"Courtesy Report (Theft, UEMV)",16-0375,3/23/16,03/14/16 0000 - 0800,Off Campus
Hit & Run - Property Damage,16-0378,3/24/16,03/24/16 0630 - 1500,E 15th & Agate
Courtesy Report (Theft 2),16-0379,3/25/16,07/26/15 0000 - 03/06/16 0000,Off Campus
Drug Law Violation,16-0382,3/25/16,03/25/16 1623,LLCS
Warrant Arrest,16-0380,3/25/16,03/25/16 1335,Oregon Hall
DUII,16-0384,3/27/16,03/27/16 0033,Off Campus
"Probation Violation, Open Container",16-0387,3/27/16,03/27/16 1827,Riley Hall
"Theft 2, Unlawful Entry Motor Vehicle",16-0388,3/27/16,03/26/16 2100 - 03/27/16 1500,Lot 51
Unlawful Entry Motor Vehicle,16-0386,3/27/16,03/26/16 2115 - 03/27/16 1230,Lot 33
Bicycle Theft 2,16-0391,3/28/16,03/15/16 1200 - 03/28/16 1300,Hamilton Complex
Bicycle Theft 2,16-0394,3/28/16,02/17/16 1200 - 03/17/16 1200,Global Scholars Hall
DUII,16-0389,3/28/16,03/28/16 0127,E 15th & University
Liquor Law Violation,639962,3/28/16,03/28/16 2315,E 13th & Kincaid
Possess Heroin,16-0393,3/28/16,03/28/16 1900,Lawrence Hall
Theft 3,16-0390,3/28/16,03/28/16 1245,Off Campus
Assist Outside Agency (Menacing),16-0400,3/29/16,03/29/16 0115,Off Campus
Courtesy Report (Theft 2),16-0403,3/29/16,03/18/16 1500 - 03/28/16 0930,Off Campus
Courtesy Report (Theft 3),16-0399,3/29/16,report pending,Off Campus
Criminal Mischief 2 - Graffiti,16-0397,3/29/16,01/26/16 1200 - 03/29/16 1223,Walton Complex
Drug Law Violation,16-0401,3/29/16,03/29/16 1610,Walton Complex
Drug Law Violation,16-0401,3/29/16,03/29/16 1610,Walton Complex
Minor in Possession Alcohol,16-0404,3/29/16,03/29/16 2137,Beta Theta Pi
"Warrant Arrest, DUII",16-0395,3/29/16,03/29/16 0040,Off Campus
Bicycle Theft 2,16-0407,3/30/16,03/29/16 2230 - 03/30/16 0500,Global Scholars Hall
Bicycle Theft 2,16-0410,3/30/16,03/17/16 0800 - 03/27/16 1000,LLCN
Sale of Alchohol by Unlicensed Peson,16-0409,3/30/16,11/24/15,Autzen Stadium
Theft 1,16-0411,3/30/16,03/12/16 1900 - 2100,Lot 33
"Warrant Arrest, Possess Meth, Criminal 
Trespass",16-0406,3/30/16,03/30/16 0312,Gerlinger Annex
Criminal Mischief 2 - Graffiti,16-0413,3/31/16,03/26/16 0000 - 03/31/16 1156,Ford Alumni Center
Criminal Mischief 2 - Graffiti,16-0415,3/31/16,03/23/16 0000 - 03/28/16 0000,Thompson University Center
Burglary 2,16-0417,4/1/16,03/31/15 2350 - 04/01/16 0129,Urban Farm House
Criminal Trespass,16-0422,4/1/16,04/01/16 2152,Bean Complex
Drug Law Violation,16-0416,4/1/16,04/01/16 0116,Bean Complex
Theft 2 - Bike Parts,16-0419,4/1/16,03/26/16 - 03/29/16,LLCN
Theft 3,16-0418,4/1/16,04/01/16 1113,Ducks Bistro
Theft 3,16-0420,4/1/16,03/16/16 0000 - 03/27/16 0000,Off Campus
Drug Law Violation,16-0424,4/2/16,04/02/16 0116,Barnhart
Minor in Possession Alcohol,16-0427,4/2/16,04/02/16 1840,1400 blk Columbia St
Open Container,16-0426,4/2/16,04/02/16 1101,Off Campus
Open Container,16-0426,4/2/16,04/02/16 1101,Off Campus
Warrant Arrest,16-0425,4/2/16,04/02/16 0849,McKenzie Hall
Assist Outside Agency (Disorderly Subject),16-0433,4/3/16,04/03/16 1325,Off Campus
Bicycle Theft 2,16-0432,4/3/16,04/01/16 1900 - 04/03/16 0800,Carson Hall
Drug Law Violation,16-0430,4/3/16,04/03/16 0139,LLCS
Drug Law Violation,16-0430,4/3/16,04/03/16 0139,LLCS
"Warrant Arrest, Resist Arrest, Interfere 
w/Police, Agg Harassment",16-0435,4/3/16,04/03/16 1915,E 8th & Hilyard
"Assault 2, Disorderly Conduct",16-0438,4/4/16,04/03/16 0000 - 0100,Off Campus
Bicycle Theft 1,16-0440,4/4/16,04/04/16 1150 - 1500,Lillis Hall
Bicycle Theft 2,16-0437,4/4/16,04/04/16 0825 - 1200,Fine Arts Studio
Disorderly Conduct,16-0439,4/4/16,04/04/16 1607,E 13th & Alder
Bicycle Theft 1,16-0443,4/5/16,04/05/16 1400 - 1600,Lawrence Hall
Burglary 1,EPD,4/5/16,6/7/15,1584 Alder
Burglary 2,EPD,4/5/16,10/3/15,1585 Franklin Blvd
Drug Law Violation,16-0444,4/5/16,04/05/16 2341,Carson Hall
Forgery 1,16-0442,4/5/16,01/30/16 1200 - 02/10/16 1200,LLCN
Minor in Possession Alcohol,EPD,4/5/16,2/1/15,E 18th & Harris
Minor in Possession Alcohol,EPD,4/5/16,4/15/15,E 15th & Agate
Minor in Possession Alcohol,EPD,4/5/16,10/10/15,1800 blk Harris
Minor in Possession Alcohol,EPD,4/5/16,9/26/15,2700 Martin Luther King Jr Blvd
Minor in Possession Alcohol,EPD,4/5/16,10/2/15,1440 E 19th
Minor in Possession Alcohol,EPD,4/5/16,10/2/15,1440 E 19th
Minor in Possession Alcohol,EPD,4/5/16,10/2/15,1440 E 19th
Open Container,EPD,4/5/16,3/29/15,555 Day Island Rd
Open Container,EPD,4/5/16,3/29/15,555 Day Island Rd
Open Container,EPD,4/5/16,1/31/15,E 18th & Alder
Open Container,EPD,4/5/16,3/14/15,E 18th & Alder
Open Container,EPD,4/5/16,4/4/15,E 16th & Alder
Open Container,EPD,4/5/16,4/28/16,Broadway & Patterson
Open Container,EPD,4/5/16,5/29/15,E14th & Alder
Open Container,EPD,4/5/16,5/29/15,E14th & Alder
Open Container,EPD,4/5/16,5/29/15,E14th & Alder
Open Container,EPD,4/5/16,5/29/15,E14th & Alder
Open Container,EPD,4/5/16,11/1/15,1800 blk Harris
Open Container,EPD,4/5/16,11/1/15,1800 blk Harris
Possess Heroin,EPD,4/5/16,8/2/15,Broadway & Patterson
Possess Meth,EPD,4/5/16,10/10/15,2715 Leo Harris Pkwy
Possess Meth,EPD,4/5/16,3/7/15,E 19th & Columbia
Possess Meth,EPD,4/5/16,4/18/15,E 13th & Kincaid
Possess Meth,EPD,4/5/16,7/2/15,1000 Patterson
Possess Meth,EPD,4/5/16,8/31/15,Broadway & Patterson
Possess Meth,EPD,4/5/16,11/5/15,2755 Leo Harris Pkwy
Possession <1 oz Marijuana,EPD,4/5/16,1/22/15,E 19th & Agate
Possession <1 oz Marijuana,EPD,4/5/16,1/22/15,E 19th & Agate
Possession <1 oz Marijuana,EPD,4/5/16,1/22/15,E 19th & Agate
Possession <1 oz Marijuana,EPD,4/5/16,1/24/15,E 19th & Agate
Possession <1 oz Marijuana,EPD,4/5/16,4/16/15,Franklin & Agate
Rape,EPD,4/5/16,5/1/15,Campus Property
Rape,EPD,4/5/16,12/29/15,E 14th & Kincaid
Robbery 1,EPD,4/5/16,4/15/15,E 12th & Kincaid
Robbery 1,EPD,4/5/16,12/14/15,E 15th & Kincaid
Robbery 3,EPD,4/5/16,2/24/15,812 E 14th
Unlawful Use Motor Vehicle,EPD,4/5/16,1/12/15,E 12th & Kincaid
Unlawful Use Motor Vehicle,EPD,4/5/16,5/24/15,E 15th & Villard
Unlawful Use Motor Vehicle,EPD,4/5/16,11/8/15,E 11th & Hilyard
Unlawful Use Motor Vehicle,EPD,4/5/16,6/5/15,E 23rd & Patterson
Unlawful Use Motor Vehicle,EPD,4/5/16,3/5/15,555 E 15th
Bicycle Theft 2,16-0446,4/6/16,04/03/16 1600 - 04/04/16 1700,Hamilton Complex
Bicycle Theft 2,16-0447,4/6/16,04/06/16 0900 - 1120,Peterson Hall
Carry Concealed Weapon,16-0450,4/6/16,04/06/16 1742,UO Riverfront
Criminal Trespass,16-0451,4/6/16,04/06/16 2324,Romania Warehouse
Open Container,16-0450,4/6/16,04/06/16 1742,UO Riverfront
Warrant Arrest,16-0451,4/6/16,04/06/16 2324,Romania Warehouse
Bicycle Theft 1,16-0453,4/7/16,04/06/16 1600 - 1700,Straub Hall
Courtesy Report (Rape 1),16-0455,4/7/16,3/31/16,Off Campus
Drug Law Violation,16-0454,4/7/16,04/07/16 2051,Hamilton Complex
DUII,16-0452,4/7/16,04/07/16 0032,Franklin & Onyx
Bicycle Theft 2,16-0471,4/8/16,04/08/16 0915 - 1800,Lawrence Hall
Bicycle Theft 3,16-0457,4/8/16,04/08/16 0910 - 0950,Lillis Hall
Criminal Mischief 1,16-0460,4/8/16,04/07/16 1148 - 1330,Lot 33
Criminal Mischief 2,16-0469,4/8/16,04/08/16 1700 - 04/09/16 0300,Friendly Hall
Criminal Mischief 3,16-0459,4/8/16,04/08/16 1307,Parking & Transportation
Disorderly Conduct,16-0463,4/8/16,04/08/16 2105,Off Campus
Drug Law Violation,641061,4/8/16,04/08/16 1948,P.K. Park
Drug Law Violation,641061,4/8/16,04/08/16 1948,P.K. Park
Drug Law Violation,641061,4/8/16,04/08/16 1948,P.K. Park
Open Container,16-0456,4/8/16,4/8/2016 0945,Off Campus
Bicycle Theft 2,16-0478,4/9/16,04/09/16 1750 - 2140,Ford Alumni Center
"Causing Another Person to Ingest a 
Controlled Subtance",16-0477,4/9/16,04/07/16 2000 - 2100,Off Campus
Drug Law Violation,16-0476,4/9/16,04/09/16 2250,Hamilton Complex
Mail Theft,16-0472,4/9/16,03/25/16 1400 - 1800,1764 E 17th
Minor in Possession Alcohol,16-0475,4/9/16,04/09/16 1734,E 19th & Agate
Minor in Possession Alcohol,16-0479,4/10/16,04/10/16 0121,1300 blk E 15th
"Warrant Arrest, Possess Meth",16-0480,4/10/16,04/10/16 1925,E 8th & Hilyard
Courtesy Report (Forgery),16-0485,4/11/16,04/04/16 1200 - 04/06/16 1200,Off Campus
Courtesy Report (Theft),16-0484,4/11/16,04/06/16 2200 - 04/07/16 0800,Off Campus
"DUII, Possess Cocaine",16-0483,4/11/16,04/11/16 0115,E 13th & Beech
Reckless Burn,16-0486,4/11/16,04/11/16 0800 - 1500,Walton Complex
Sex Abuse 3,16-0487,4/11/16,11/5/15,On Campus
Sex Abuse 3,16-0487,4/11/16,11/14/15,On Campus
Bicycle Theft 2,16-0491,4/12/16,04/12/16 0800 - 1320,McKenzie Hall
Bicycle Theft 2,16-0492,4/12/16,04/11/16 1345 - 04/12/16 1730,Global Scholars Hall
Liquor Law Violation,641449,4/12/16,04/12/16 2134,College of Education
Theft 3,16-0488,4/12/16,04/12/16 0005,E 13th & Agate
Warrant Arrest,16-0493,4/12/16,04/12/16 2106,Knight Library
Bicycle Theft 1,16-0496,4/13/16,04/12/16 0800 - 0230,Straub Hall
Burglary 1,16-0495,4/13/16,04/13/16 0145 - 0500,Sigma Phi Epsilon
Theft 2,16-0498,4/13/16,04/13/16 1530 - 1600,10th & Mill Bldg
Warrant Arrest,16-0497,4/13/16,04/13/16 1311,Off Campus
"Warrant Arrest, Theft by Receiving, Felon 
in Possession Weapon, Carry Concealed 
Weapon-Knife",16-0495,4/13/16,4/13/2016 0529,LLCS
Criminal Mischief 2,16-0500,4/14/16,04/13/16 2100 - 04/14/16 0700,Miller Theatre Complex
Drug Law Violation,16-0501,4/14/16,04/14/16 1541,UO Riverfront
Drug Law Violation,16-0501,4/14/16,04/14/16 1541,UO Riverfront
Liquor Law Violation,641563,4/14/16,04/14/16 0144,Lokey Education Bldg
Bicycle Theft 2,16-0503,4/15/16,04/08/16 2000 - 04/09/16 2100,Off Campus
Criminal Mischief 3 - Graffiti,16-0504,4/15/16,04/15/16 0000 - 1700,Anstett Hall
Bicycle Theft 1,16-0506,4/16/16,04/16/16 0805 - 1805,Klamath Hall
Theft 2,16-0505,4/16/16,04/16/16 0100 - 0130,Off Campus
Bicycle Theft 2,16-0509,4/17/16,04/17/16 0720 - 1605,LLCN
Criminal Mischief 2,16-0511,4/17/16,04/17/16 0000 - 1730,Knight Library
Drug Law Violation,16-0508,4/17/16,04/17/16 0105,Bean Complex
Possession <1 oz Marijuana,16-0507,4/17/16,04/17/16 0042,Spencer View Apts
"Warrant Arrest, Possess Heroin, Theft 2, 
Possess Burglary Tool, Criminal Trespass",16-0509,4/17/16,04/17/16 1425,Earl Hall
Attm Robbery 3,16-0518,4/18/16,04/18/16 1259,E 13th & University
Bicycle Theft 2,16-0514,4/18/16,04/18/16 1000 - 1210,Global Scholars Hall
Bicycle Theft 2,16-0515,4/18/16,04/18/1 1455 - 1800,Lot 16
Criminal Mischief 2,16-0513,4/18/16,04/18/16 0700 - 0818,Lillis Hall
"Harassment, Interfere w/Police, Criminal 
Trespass",16-0516,4/18/16,04/18/16 2300,555 E 15th
Interfere w/Police,16-0512,4/18/16,04/18/16 0218,E 15th & Villard
Drug Law Violation,16-0521,4/19/16,04/19/16 1722,UO Riverfront
Drug Law Violation,16-0521,4/19/16,04/19/16 1722,UO Riverfront
Drug Law Violation,16-0521,4/19/16,04/19/16 1722,UO Riverfront
Drug Law Violation,16-0521,4/19/16,04/19/16 1722,UO Riverfront
Drug Law Violation,N/A,4/19/16,2/27/16 1:30,Douglass
Drug Law Violation,N/A,4/19/16,3/1/16 14:18,Sweetser
Drug Law Violation,N/A,4/19/16,3/1/16 22:05,Young
Drug Law Violation,N/A,4/19/16,3/5/16 1:02,Willcox
Drug Law Violation,N/A,4/19/16,3/5/16 1:02,Willcox
Drug Law Violation,N/A,4/19/16,3/9/16 23:26,BARNHART 6 NORTH
Drug Law Violation,N/A,4/19/16,3/9/16 23:26,BARNHART 6 NORTH
Drug Law Violation,N/A,4/19/16,3/9/16 23:26,BARNHART 6 NORTH
Drug Law Violation,N/A,4/19/16,3/9/16 22:40,Schafer
Drug Law Violation,N/A,4/19/16,3/9/16 22:40,Schafer
Drug Law Violation,N/A,4/19/16,3/9/16 22:40,Schafer
Drug Law Violation,N/A,4/19/16,3/25/16 16:20,LLC 3 SOUTH
Liquor Law Violation,N/A,4/19/16,2/27/16 23:25,LLC 2 SOUTH
Liquor Law Violation,N/A,4/19/16,2/27/16 23:25,LLC 2 SOUTH
Liquor Law Violation,N/A,4/19/16,2/27/16 1:52,LLC 2 SOUTH
Liquor Law Violation,N/A,4/19/16,2/27/16 2:08,GSH 2 Central
Liquor Law Violation,N/A,4/19/16,2/27/16 2:08,GSH 2 Central
Liquor Law Violation,N/A,4/19/16,2/27/16 3:54,BARNHART 7 NORTH
Liquor Law Violation,N/A,4/19/16,2/20/16 0:12,Stafford
Liquor Law Violation,N/A,4/19/16,2/28/16 1:20,Watson
Liquor Law Violation,N/A,4/19/16,3/4/16 0:37,Spiller
Liquor Law Violation,N/A,4/19/16,2/20/16 20:10,Dyment
Liquor Law Violation,N/A,4/19/16,2/20/16 20:10,Dyment
Liquor Law Violation,N/A,4/19/16,3/6/16 1:43,Cloran
Liquor Law Violation,N/A,4/19/16,3/6/16 1:43,Cloran
Liquor Law Violation,N/A,4/19/16,3/6/16 1:43,Cloran
Liquor Law Violation,N/A,4/19/16,3/6/16 1:43,Cloran
Liquor Law Violation,N/A,4/19/16,3/4/16 22:15,Thornton
Liquor Law Violation,N/A,4/19/16,3/4/16 22:15,Thornton
Liquor Law Violation,N/A,4/19/16,3/6/16 1:43,Cloran
